talker_2	talker_1	phone_2	phone_1	by	score	n
1	20	dh	hh	iy-ae	0.745535714286	224
1	20	dh	k	iy-ae	0.75	32
1	20	hh	dh	iy-ae	0.71875	128
1	20	hh	k	iy-ae	0.609375	64
1	20	k	dh	iy-ae	0.875	32
1	20	k	hh	iy-ae	0.875	112
1	23	dh	hh	iy-ae	0.809523809524	630
1	23	dh	k	iy-ae	0.95	160
1	23	hh	dh	iy-ae	0.472222222222	360
1	23	hh	k	iy-ae	0.909722222222	144
1	23	k	dh	iy-ae	0.63125	160
1	23	k	hh	iy-ae	0.642857142857	252
1	24	dh	hh	iy-ae	0.538095238095	420
1	24	dh	k	iy-ae	0.5	48
1	24	hh	dh	iy-ae	0.35	240
1	24	hh	k	iy-ae	0.5	80
1	24	k	dh	iy-ae	0.9375	48
1	24	k	hh	iy-ae	0.807142857143	140
1	25	dh	hh	iy-ae	0.875	280
1	25	dh	k	iy-ae	0.9375	64
1	25	hh	dh	iy-ae	0.575	160
1	25	hh	k	iy-ae	0.775	160
1	25	k	dh	iy-ae	0.921875	64
1	25	k	hh	iy-ae	0.932142857143	280
1	26	dh	hh	iy-ae	0.836734693878	49
1	26	dh	k	iy-ae	1.0	16
1	26	hh	dh	iy-ae	0.142857142857	28
1	26	hh	k	iy-ae	0.794642857143	112
1	26	k	dh	iy-ae	0.25	16
1	26	k	hh	iy-ae	0.933673469388	196
1	27	dh	hh	iy-ae	0.514285714286	70
1	27	dh	k	iy-ae	0.791666666667	24
1	27	hh	dh	iy-ae	0.55	40
1	27	hh	k	iy-ae	0.783333333333	240
1	27	k	dh	iy-ae	0.791666666667	24
1	27	k	hh	iy-ae	0.888095238095	420
1	29	dh	hh	iy-ae	0.561904761905	420
1	29	dh	k	iy-ae	0.916666666667	48
1	29	hh	dh	iy-ae	0.770833333333	240
1	29	hh	k	iy-ae	0.925	80
1	29	k	dh	iy-ae	1.0	48
1	29	k	hh	iy-ae	0.792857142857	140
1	30	dh	hh	iy-ae	0.536507936508	630
1	30	dh	k	iy-ae	0.87962962963	108
1	30	hh	dh	iy-ae	0.45	360
1	30	hh	k	iy-ae	0.85	120
1	30	k	dh	iy-ae	0.944444444444	108
1	30	k	hh	iy-ae	0.842857142857	210
1	31	dh	hh	iy-ae	0.64	350
1	31	dh	k	iy-ae	0.8	40
1	31	hh	dh	iy-ae	0.815	200
1	31	hh	k	iy-ae	0.8375	80
1	31	k	dh	iy-ae	0.975	40
1	31	k	hh	iy-ae	0.85	140
1	32	dh	hh	iy-ae	0.815476190476	336
1	32	dh	k	iy-ae	0.739583333333	96
1	32	hh	dh	iy-ae	0.526041666667	192
1	32	hh	k	iy-ae	0.6328125	128
1	32	k	dh	iy-ae	0.822916666667	96
1	32	k	hh	iy-ae	0.861607142857	224
1	33	dh	hh	iy-ae	0.72	175
1	33	dh	k	iy-ae	0.94	100
1	33	hh	dh	iy-ae	0.52	100
1	33	hh	k	iy-ae	0.81	100
1	33	k	dh	iy-ae	0.79	100
1	33	k	hh	iy-ae	0.685714285714	175
20	1	dh	hh	iy-ae	0.767857142857	224
20	1	dh	k	iy-ae	0.875	32
20	1	hh	dh	iy-ae	0.660714285714	112
20	1	hh	k	iy-ae	0.642857142857	56
20	1	k	dh	iy-ae	0.796875	64
20	1	k	hh	iy-ae	0.825892857143	224
20	23	dh	hh	iy-ae	0.893055555556	720
