talker_2	talker_1	phone_2	phone_1	by	score	n
1	20	er	ey	dh-SIL	0.901234567901	405
1	20	er	iy	dh-SIL	0.436	500
1	20	ey	er	dh-SIL	0.514814814815	270
1	20	ey	iy	dh-SIL	0.426666666667	900
1	20	iy	er	dh-SIL	0.676666666667	300
1	20	iy	ey	dh-SIL	0.651851851852	810
1	23	er	ey	dh-SIL	0.908888888889	450
1	23	er	iy	dh-SIL	0.848	500
1	23	ey	er	dh-SIL	0.313333333333	300
1	23	ey	iy	dh-SIL	0.608	1000
1	23	iy	er	dh-SIL	0.243333333333	300
1	23	iy	ey	dh-SIL	0.577777777778	900
1	24	er	ey	dh-SIL	0.946031746032	630
1	24	er	iy	dh-SIL	0.62	700
1	24	ey	er	dh-SIL	0.161904761905	420
1	24	ey	iy	dh-SIL	0.443	1000
1	24	iy	er	dh-SIL	0.366666666667	420
1	24	iy	ey	dh-SIL	0.542222222222	900
1	25	er	ey	dh-SIL	0.945833333333	720
1	25	er	iy	dh-SIL	0.52125	800
1	25	ey	er	dh-SIL	0.7	480
1	25	ey	iy	dh-SIL	0.63	1000
1	25	iy	er	dh-SIL	0.66875	480
1	25	iy	ey	dh-SIL	0.636666666667	900
1	26	er	ey	dh-SIL	0.990740740741	540
1	26	er	iy	dh-SIL	0.51	600
1	26	ey	er	dh-SIL	0.7	360
1	26	ey	iy	dh-SIL	0.596	1000
1	26	iy	er	dh-SIL	0.602777777778	360
1	26	iy	ey	dh-SIL	0.772222222222	900
1	27	er	ey	dh-SIL	0.954444444444	900
1	27	er	iy	dh-SIL	0.484	1000
1	27	ey	er	dh-SIL	0.498333333333	600
1	27	ey	iy	dh-SIL	0.583	1000
1	27	iy	er	dh-SIL	0.556666666667	600
1	27	iy	ey	dh-SIL	0.61	900
1	29	er	ey	dh-SIL	0.980952380952	630
1	29	er	iy	dh-SIL	0.532857142857	700
1	29	ey	er	dh-SIL	0.261904761905	420
1	29	ey	iy	dh-SIL	0.469	1000
1	29	iy	er	dh-SIL	0.352380952381	420
1	29	iy	ey	dh-SIL	0.694444444444	900
