phone_2	phone_1	by	score	n
f	p	('SIL-r', 31)	0.701851851852	540
f	t	('SIL-r', 31)	0.944444444444	72
f	th	('SIL-r', 31)	1.0	72
p	f	('SIL-r', 31)	0.95	300
p	t	('SIL-r', 31)	0.958333333333	120
p	th	('SIL-r', 31)	1.0	120
t	f	('SIL-r', 31)	1.0	120
t	p	('SIL-r', 31)	0.811111111111	360
t	th	('SIL-r', 31)	1.0	48
th	f	('SIL-r', 31)	0.983333333333	120
th	p	('SIL-r', 31)	0.844444444444	360
th	t	('SIL-r', 31)	0.979166666667	48
w	s	('d-ah', 1)	1.0	2
n	t	('ah-s', 33)	0.778571428571	560
n	v	('ah-s', 33)	0.765277777778	720
t	n	('ah-s', 33)	0.683333333333	720
t	v	('ah-s', 33)	0.684027777778	576
v	n	('ah-s', 33)	0.522222222222	810
v	t	('ah-s', 33)	0.597222222222	504
k	n	('ih-s', 24)	0.670833333333	720
k	ng	('ih-s', 24)	0.87	300
k	t	('ih-s', 24)	0.572222222222	900
n	k	('ih-s', 24)	0.822222222222	810
n	ng	('ih-s', 24)	0.544444444444	270
n	t	('ih-s', 24)	0.538271604938	810
ng	k	('ih-s', 24)	0.803703703704	540
ng	n	('ih-s', 24)	0.425925925926	432
ng	t	('ih-s', 24)	0.553703703704	540
t	k	('ih-s', 24)	0.672222222222	900
t	n	('ih-s', 24)	0.5125	720
t	ng	('ih-s', 24)	0.603333333333	300
n	ng	('ih-f', 32)	0.542328042328	122
ng	n	('ih-f', 32)	0.68253968254	248
d	t	('n-th', 27)	0.5	6
t	d	('n-th', 27)	0.75	12
s	w	('d-ah', 30)	1.0	8
w	s	('d-ah', 30)	1.0	24
b	d	('SIL-ih', 23)	0.711111111111	900
b	r	('SIL-ih', 23)	0.722222222222	720
b	s	('SIL-ih', 23)	0.746666666667	300
b	th	('SIL-ih', 23)	0.725555555556	900
b	w	('SIL-ih', 23)	0.825555555556	900
b	y	('SIL-ih', 23)	0.6	420
d	b	('SIL-ih', 23)	0.415555555556	900
d	r	('SIL-ih', 23)	0.756944444444	720
d	s	('SIL-ih', 23)	0.733333333333	300
d	th	('SIL-ih', 23)	0.728888888889	900
d	w	('SIL-ih', 23)	0.848888888889	900
d	y	('SIL-ih', 23)	0.542857142857	420
f	b	('SIL-ih', 23)	0.6	90
