phone_2	phone_1	by	score	n
ih	uh	('k-d', 32)	0.711111111111	180
uh	ih	('k-d', 32)	0.9	180
ae	ah	('m-n', 26)	0.465079365079	118
ae	eh	('m-n', 26)	0.636054421769	38
ae	iy	('m-n', 26)	0.67619047619	118
ah	ae	('m-n', 26)	0.87619047619	164
ah	eh	('m-n', 26)	0.966666666667	164
ah	iy	('m-n', 26)	0.834444444444	132
eh	ae	('m-n', 26)	0.316326530612	38
eh	ah	('m-n', 26)	0.320634920635	118
eh	iy	('m-n', 26)	0.722222222222	118
iy	ae	('m-n', 26)	0.742857142857	164
iy	ah	('m-n', 26)	0.788888888889	132
iy	eh	('m-n', 26)	0.988095238095	164
aa	ow	('k-l', 32)	1.0	60
aa	uw	('k-l', 32)	0.634444444444	132
ow	aa	('k-l', 32)	0.988888888889	14
ow	uw	('k-l', 32)	0.622222222222	14
uw	aa	('k-l', 32)	0.93	132
uw	ow	('k-l', 32)	1.0	60
ae	ah	('l-n', 20)	0.78125	96
ae	er	('l-n', 20)	1.0	16
ae	ih	('l-n', 20)	1.0	16
ae	iy	('l-n', 20)	0.916666666667	48
ah	ae	('l-n', 20)	0.410714285714	224
ah	er	('l-n', 20)	1.0	8
ah	ih	('l-n', 20)	0.75	8
ah	iy	('l-n', 20)	1.0	24
er	ae	('l-n', 20)	0.8125	112
er	ah	('l-n', 20)	1.0	24
er	ih	('l-n', 20)	1.0	4
er	iy	('l-n', 20)	1.0	12
ih	ae	('l-n', 20)	0.607142857143	112
ih	ah	('l-n', 20)	0.875	24
ih	er	('l-n', 20)	1.0	4
ih	iy	('l-n', 20)	1.0	12
iy	ae	('l-n', 20)	0.875	168
iy	ah	('l-n', 20)	1.0	36
iy	er	('l-n', 20)	1.0	6
iy	ih	('l-n', 20)	1.0	6
ah	ow	('f-r', 25)	0.325555555556	132
ow	ah	('f-r', 25)	0.811111111111	132
ae	ah	('s-n', 31)	0.5	120
ae	eh	('s-n', 31)	0.655555555556	132
ae	ih	('s-n', 31)	0.463333333333	44
ae	iy	('s-n', 31)	1.0	60
ah	ae	('s-n', 31)	0.530555555556	104
ah	eh	('s-n', 31)	0.744444444444	104
ah	ih	('s-n', 31)	0.55	120
ah	iy	('s-n', 31)	1.0	24
eh	ae	('s-n', 31)	0.608888888889	132
eh	ah	('s-n', 31)	0.633333333333	120
eh	ih	('s-n', 31)	0.633333333333	44
eh	iy	('s-n', 31)	1.0	60
ih	ae	('s-n', 31)	0.559259259259	28
ih	ah	('s-n', 31)	0.611111111111	72
ih	eh	('s-n', 31)	0.696296296296	28
ih	iy	('s-n', 31)	1.0	36
iy	ae	('s-n', 31)	0.596296296296	14
iy	ah	('s-n', 31)	0.611111111111	36
iy	eh	('s-n', 31)	0.888888888889	14
iy	ih	('s-n', 31)	0.633333333333	90
ae	ay	('SIL-n', 27)	1.0	20
ae	eh	('SIL-n', 27)	0.783333333333	120
ae	ih	('SIL-n', 27)	0.368888888889	132
ay	ae	('SIL-n', 27)	0.577777777778	180
ay	eh	('SIL-n', 27)	0.958333333333	24
ay	ih	('SIL-n', 27)	0.461111111111	180
eh	ae	('SIL-n', 27)	0.666666666667	104
eh	ay	('SIL-n', 27)	1.0	8
eh	ih	('SIL-n', 27)	0.497222222222	104
ih	ae	('SIL-n', 27)	0.661111111111	132
ih	ay	('SIL-n', 27)	1.0	20
ih	eh	('SIL-n', 27)	0.9	120
iy	eh	('dh-m', 1)	0.777777777778	90
aa	uw	('k-l', 25)	0.975925925926	28
ow	aa	('k-l', 25)	0.9	30
ow	uw	('k-l', 25)	0.855555555556	90
uw	aa	('k-l', 25)	0.963333333333	44
ae	ah	('r-n', 30)	0.477777777778	132
ae	aw	('r-n', 30)	1.0	44
ae	eh	('r-n', 30)	0.661111111111	132
ae	ih	('r-n', 30)	0.625	120
ah	ae	('r-n', 30)	0.641111111111	132
ah	aw	('r-n', 30)	0.983333333333	44
ah	eh	('r-n', 30)	0.681111111111	132
ah	ih	('r-n', 30)	0.733333333333	120
aw	ae	('r-n', 30)	0.848148148148	28
aw	ah	('r-n', 30)	0.422222222222	28
aw	eh	('r-n', 30)	0.566666666667	28
aw	ih	('r-n', 30)	0.972222222222	72
eh	ae	('r-n', 30)	0.597777777778	132
eh	ah	('r-n', 30)	0.391111111111	132
eh	aw	('r-n', 30)	0.916666666667	44
eh	ih	('r-n', 30)	0.716666666667	120
ih	ae	('r-n', 30)	0.555555555556	104
ih	ah	('r-n', 30)	0.541666666667	104
ih	aw	('r-n', 30)	1.0	120
ih	eh	('r-n', 30)	0.666666666667	104
ow	ae	('r-n', 30)	0.866666666667	90
ow	ah	('r-n', 30)	0.6	90
ow	aw	('r-n', 30)	1.0	30
ow	eh	('r-n', 30)	0.711111111111	90
ow	ih	('r-n', 30)	0.916666666667	12
ey	uw	('d-SIL', 1)	0.555555555556	126
uw	ey	('d-SIL', 1)	0.52380952381	42
eh	iy	('r-d', 24)	0.571180555556	64
iy	eh	('r-d', 24)	0.664682539683	248
ae	aw	('d-n', 24)	0.919444444444	208
ae	ih	('d-n', 24)	0.625	80
ae	ow	('d-n', 24)	0.613888888889	208
aw	ae	('d-n', 24)	0.564285714286	48
aw	ih	('d-n', 24)	0.797619047619	164
aw	ow	('d-n', 24)	0.446666666667	132
ih	ae	('d-n', 24)	0.482142857143	136
ih	aw	('d-n', 24)	0.968253968254	118
ih	ow	('d-n', 24)	0.615873015873	118
ow	ae	('d-n', 24)	0.842857142857	48
ow	aw	('d-n', 24)	0.962222222222	132
ow	ih	('d-n', 24)	0.864285714286	164
aa	ih	('l-ng', 1)	0.725	40
ih	aa	('l-ng', 1)	1.0	10
ah	iy	('l-s', 24)	0.5	24
iy	ah	('l-s', 24)	0.611111111111	36
aa	ow	('k-l', 30)	0.966666666667	60
aa	uw	('k-l', 30)	0.935555555556	132
ow	aa	('k-l', 30)	0.718518518519	14
ow	uw	('k-l', 30)	0.722222222222	14
uw	aa	('k-l', 30)	0.824444444444	132
uw	ow	('k-l', 30)	0.866666666667	60
ay	uh	('l-k', 25)	0.776666666667	132
ih	ay	('l-k', 25)	0.788888888889	90
ih	uh	('l-k', 25)	0.666666666667	90
uh	ay	('l-k', 25)	0.864444444444	132
aa	eh	('g-t', 24)	0.795555555556	132
aa	ow	('g-t', 24)	0.895	200
eh	aa	('g-t', 24)	0.716666666667	132
eh	ow	('g-t', 24)	0.905	200
ow	aa	('g-t', 24)	0.38	194
ow	eh	('g-t', 24)	0.58	194
ey	uw	('d-SIL', 24)	0.711111111111	90
uw	ey	('d-SIL', 24)	0.361111111111	36
ay	uw	('t-m', 29)	0.837777777778	132
uw	ay	('t-m', 29)	0.826666666667	132
iy	ow	('dh-z', 30)	0.808035714286	224
ow	iy	('dh-z', 30)	0.583333333333	96
ae	aw	('d-n', 27)	0.998888888889	132
ae	ih	('d-n', 27)	0.616666666667	132
ae	ow	('d-n', 27)	0.872222222222	132
aw	ae	('d-n', 27)	0.976666666667	132
aw	ih	('d-n', 27)	0.991111111111	132
aw	ow	('d-n', 27)	0.694444444444	132
ih	ae	('d-n', 27)	0.503333333333	132
ih	aw	('d-n', 27)	0.997777777778	132
ih	ow	('d-n', 27)	0.908888888889	132
ow	ae	('d-n', 27)	0.984444444444	132
ow	aw	('d-n', 27)	0.967777777778	132
ow	ih	('d-n', 27)	1.0	132
ah	ow	('s-m', 30)	0.65	60
ow	ah	('s-m', 30)	0.440740740741	14
aa	ow	('k-l', 23)	0.962222222222	132
aa	uw	('k-l', 23)	0.92	132
ow	aa	('k-l', 23)	0.926666666667	132
ow	uw	('k-l', 23)	0.873333333333	132
uw	aa	('k-l', 23)	0.988888888889	132
uw	ow	('k-l', 23)	0.985555555556	132
er	iy	('t-SIL', 29)	0.857142857143	210
er	uw	('t-SIL', 29)	0.726984126984	118
iy	er	('t-SIL', 29)	0.90873015873	252
iy	uw	('t-SIL', 29)	0.803703703704	28
uw	er	('t-SIL', 29)	0.604761904762	164
uw	iy	('t-SIL', 29)	0.57	44
ih	ow	('y-r', 23)	0.287777777778	132
ow	ih	('y-r', 23)	0.696666666667	132
ae	ah	('n-n', 32)	0.735	200
ae	ay	('n-n', 32)	1.0	20
ae	ih	('n-n', 32)	0.546428571429	48
ah	ae	('n-n', 32)	0.615555555556	194
ah	ay	('n-n', 32)	1.0	10
ah	ih	('n-n', 32)	0.710714285714	24
ay	ae	('n-n', 32)	0.583333333333	180
ay	ah	('n-n', 32)	0.85	40
ay	ih	('n-n', 32)	0.5625	112
ih	ae	('n-n', 32)	0.425	208
ih	ah	('n-n', 32)	0.78125	160
ih	ay	('n-n', 32)	0.9375	16
ay	uh	('l-k', 30)	0.901388888889	208
ih	ay	('l-k', 30)	0.1	90
ih	uh	('l-k', 30)	0.486111111111	72
uh	ay	('l-k', 30)	0.785185185185	42
aa	eh	('g-t', 1)	0.912345679012	42
aa	ow	('g-t', 1)	0.944444444444	18
eh	aa	('g-t', 1)	0.958333333333	208
eh	ow	('g-t', 1)	1.0	20
ow	aa	('g-t', 1)	0.868055555556	144
ow	eh	('g-t', 1)	0.888888888889	180
ah	aw	('b-t', 29)	0.842222222222	132
aw	ah	('b-t', 29)	0.622222222222	132
ih	ah	('b-t', 29)	0.522222222222	90
ih	aw	('b-t', 29)	0.933333333333	90
iy	ow	('dh-z', 23)	0.642857142857	126
ow	iy	('dh-z', 23)	1.0	42
aa	ah	('w-n', 26)	0.669135802469	42
aa	eh	('w-n', 26)	0.516049382716	42
ah	aa	('w-n', 26)	0.447222222222	208
ah	eh	('w-n', 26)	0.438888888889	132
eh	aa	('w-n', 26)	0.533333333333	208
eh	ah	('w-n', 26)	0.636666666667	132
ow	ah	('s-m', 24)	0.955555555556	90
ah	uw	('t-d', 1)	0.680952380952	164
uw	ah	('t-d', 1)	0.68253968254	118
ay	iy	('m-SIL', 26)	0.916666666667	44
iy	ay	('m-SIL', 26)	0.914814814815	28
er	iy	('t-SIL', 20)	0.7	30
er	uw	('t-SIL', 20)	0.655555555556	90
iy	uw	('t-SIL', 20)	0.805555555556	28
uw	iy	('t-SIL', 20)	0.736666666667	44
eh	iy	('r-d', 1)	0.662962962963	28
iy	eh	('r-d', 1)	0.81	44
ay	ow	('m-s', 25)	0.944444444444	14
ow	ay	('m-s', 25)	0.983333333333	60
er	iy	('w-k', 24)	0.947619047619	164
iy	er	('w-k', 24)	0.880952380952	118
ih	ow	('y-r', 27)	0.561111111111	208
ow	ih	('y-r', 27)	0.755555555556	42
ae	eh	('dh-n', 32)	0.565277777778	208
eh	ae	('dh-n', 32)	0.376785714286	48
aa	ih	('n-t', 1)	0.59	132
ih	aa	('n-t', 1)	0.983333333333	132
ae	uw	('y-SIL', 24)	0.832222222222	132
uw	ae	('y-SIL', 24)	0.668888888889	132
ay	eh	('s-d', 1)	0.888888888889	18
eh	ay	('s-d', 1)	0.444444444444	18
ae	ah	('t-n', 25)	0.461111111111	208
ae	eh	('t-n', 25)	0.55	132
ae	er	('t-n', 25)	0.89	44
ae	ih	('t-n', 25)	0.496666666667	132
ae	iy	('t-n', 25)	0.992222222222	132
ae	uw	('t-n', 25)	0.95	20
ah	ae	('t-n', 25)	0.517283950617	42
ah	eh	('t-n', 25)	0.656790123457	42
ah	er	('t-n', 25)	0.892592592593	14
ah	ih	('t-n', 25)	0.566666666667	42
ah	iy	('t-n', 25)	0.996296296296	42
ah	uw	('t-n', 25)	0.944444444444	18
eh	ae	('t-n', 25)	0.48	132
eh	ah	('t-n', 25)	0.501388888889	208
eh	er	('t-n', 25)	0.903333333333	44
eh	ih	('t-n', 25)	0.534444444444	132
eh	iy	('t-n', 25)	0.988888888889	132
eh	uw	('t-n', 25)	0.85	20
er	ae	('t-n', 25)	0.590740740741	28
er	ah	('t-n', 25)	0.583333333333	176
er	eh	('t-n', 25)	0.737037037037	28
er	ih	('t-n', 25)	0.705555555556	28
er	iy	('t-n', 25)	1.0	28
er	uw	('t-n', 25)	1.0	12
ih	ae	('t-n', 25)	0.457777777778	132
ih	ah	('t-n', 25)	0.409722222222	208
ih	eh	('t-n', 25)	0.545555555556	132
ih	er	('t-n', 25)	0.88	44
ih	iy	('t-n', 25)	0.987777777778	132
ih	uw	('t-n', 25)	0.8	20
iy	ae	('t-n', 25)	0.536666666667	132
iy	ah	('t-n', 25)	0.618055555556	208
iy	eh	('t-n', 25)	0.691111111111	132
iy	er	('t-n', 25)	0.966666666667	44
iy	ih	('t-n', 25)	0.697777777778	132
iy	uw	('t-n', 25)	0.8	20
uw	ae	('t-n', 25)	0.338888888889	180
uw	ah	('t-n', 25)	0.375	144
uw	eh	('t-n', 25)	0.411111111111	180
uw	er	('t-n', 25)	0.783333333333	60
uw	ih	('t-n', 25)	0.405555555556	180
uw	iy	('t-n', 25)	0.905555555556	180
ae	ah	('z-n', 29)	0.664285714286	164
ah	ae	('z-n', 29)	0.469841269841	118
ah	uw	('t-d', 23)	0.554444444444	132
uw	ah	('t-d', 23)	0.526666666667	132
er	iy	('w-k', 31)	0.796428571429	48
iy	er	('w-k', 31)	0.926388888889	208
aa	ih	('n-t', 24)	0.66	44
ih	aa	('n-t', 24)	0.811111111111	28
ah	ae	('z-n', 31)	0.344444444444	90
aa	ae	('k-n', 32)	0.746296296296	28
aa	ah	('k-n', 32)	0.716666666667	28
aa	ay	('k-n', 32)	0.727777777778	180
aa	ih	('k-n', 32)	0.861111111111	36
ae	aa	('k-n', 32)	0.953333333333	44
ae	ah	('k-n', 32)	0.605555555556	132
ae	ay	('k-n', 32)	0.89	44
ae	ih	('k-n', 32)	0.483333333333	60
ah	aa	('k-n', 32)	0.896666666667	44
ah	ae	('k-n', 32)	0.436666666667	132
ah	ay	('k-n', 32)	0.833333333333	44
ah	ih	('k-n', 32)	0.433333333333	60
ay	aa	('k-n', 32)	0.705555555556	180
ay	ae	('k-n', 32)	0.590740740741	28
ay	ah	('k-n', 32)	0.637037037037	28
ay	ih	('k-n', 32)	0.527777777778	36
ih	aa	('k-n', 32)	0.955555555556	90
ih	ae	('k-n', 32)	0.414814814815	14
ih	ah	('k-n', 32)	0.559259259259	14
ih	ay	('k-n', 32)	0.822222222222	90
ay	uw	('t-m', 33)	0.8125	64
uw	ay	('t-m', 33)	0.876984126984	248
ah	uw	('t-d', 30)	0.657777777778	132
uw	ah	('t-d', 30)	0.658888888889	132
ih	iy	('dh-s', 29)	0.723333333333	132
iy	ih	('dh-s', 29)	0.807777777778	132
ah	eh	('t-v', 25)	0.913333333333	132
ah	ih	('t-v', 25)	0.759722222222	208
eh	ah	('t-v', 25)	0.57	132
eh	ih	('t-v', 25)	0.688888888889	208
ih	ah	('t-v', 25)	0.720987654321	42
ih	eh	('t-v', 25)	0.917283950617	42
er	iy	('t-SIL', 1)	1.0	18
er	uw	('t-SIL', 1)	0.674074074074	14
iy	er	('t-SIL', 1)	1.0	18
iy	uw	('t-SIL', 1)	0.851851851852	14
uw	er	('t-SIL', 1)	0.633333333333	60
uw	iy	('t-SIL', 1)	0.916666666667	60
ay	ey	('r-t', 20)	0.9	20
ay	ih	('r-t', 20)	0.733333333333	60
ey	ay	('r-t', 20)	0.944444444444	180
ey	ih	('r-t', 20)	0.5	12
ih	ay	('r-t', 20)	0.959259259259	14
ih	ey	('r-t', 20)	0.833333333333	6
