"speakerpairs"	"contrasts"	"mean_score_temp"	"sp_type"	"c_type"
"1-20"	"aa-ae"	0.75171875	"b"	"V"
"1-20"	"aa-ah"	0.567753430886317	"b"	"V"
"1-20"	"aa-ay"	0.531857638888875	"b"	"V"
"1-20"	"aa-eh"	0.549148596938812	"b"	"V"
"1-20"	"aa-ey"	0.687072172619125	"b"	"V"
"1-20"	"aa-ih"	0.7980244047619	"b"	"V"
"1-20"	"aa-ow"	0.657866319444438	"b"	"V"
"1-20"	"aa-uw"	0.807118055555583	"b"	"V"
"1-20"	"ae-ah"	0.575656105324028	"b"	"V"
"1-20"	"ae-aw"	0.79375	"b"	"V"
"1-20"	"ae-ay"	0.691479166666688	"b"	"V"
"1-20"	"ae-eh"	0.603404706790125	"b"	"V"
"1-20"	"ae-er"	0.666232638888917	"b"	"V"
"1-20"	"ae-ih"	0.567324428382464	"b"	"V"
"1-20"	"ae-iy"	0.7408927469135	"b"	"V"
"1-20"	"ae-ow"	0.749374999999875	"b"	"V"
"1-20"	"ae-uw"	0.726666666666625	"b"	"V"
"1-20"	"ah-aw"	0.690625	"b"	"V"
"1-20"	"ah-ay"	0.5676199074074	"b"	"V"
"1-20"	"ah-eh"	0.5634991319445	"b"	"V"
"1-20"	"ah-er"	0.566406249999875	"b"	"V"
"1-20"	"ah-ey"	0.4925	"b"	"V"
"1-20"	"ah-ih"	0.597277976190475	"b"	"V"
"1-20"	"ah-iy"	0.67841666666665	"b"	"V"
"1-20"	"ah-ow"	0.613223958333333	"b"	"V"
"1-20"	"ah-uw"	0.69889880952375	"b"	"V"
"1-20"	"aw-eh"	0.85	"b"	"V"
"1-20"	"aw-ey"	1	"b"	"V"
"1-20"	"aw-ih"	0.742951388888938	"b"	"V"
"1-20"	"aw-iy"	0.8645833333335	"b"	"V"
"1-20"	"aw-ow"	0.63352777777775	"b"	"V"
"1-20"	"ay-eh"	0.58622685185175	"b"	"V"
"1-20"	"ay-ey"	0.63375	"b"	"V"
"1-20"	"ay-ih"	0.65219722222225	"b"	"V"
"1-20"	"ay-iy"	0.61875	"b"	"V"
"1-20"	"ay-ow"	0.70928571428575	"b"	"V"
"1-20"	"ay-uh"	0.7890625	"b"	"V"
"1-20"	"ay-uw"	0.778	"b"	"V"
"1-20"	"b-d"	0.652875000000125	"b"	"C"
"1-20"	"b-dh"	0.642416449652813	"b"	"C"
"1-20"	"b-f"	0.60875	"b"	"C"
"1-20"	"b-hh"	0.665	"b"	"C"
